Percentage served,Time in ms
0,37.913
1,75.127
2,78.979
3,80.224
4,81.851
5,84.548
6,85.212
7,85.873
8,87.164
9,87.539
10,87.876
11,88.246
12,88.816
13,89.336
14,89.605
15,89.792
16,90.590
17,92.174
18,94.488
19,96.924
20,99.615
21,101.358
22,101.681
23,101.903
24,103.620
25,105.774
26,107.359
27,111.756
28,116.355
29,120.924
30,125.797
31,127.809
32,131.067
33,132.130
34,133.949
35,138.760
36,158.747
37,159.962
38,161.360
39,162.157
40,162.756
41,164.571
42,164.827
43,165.086
44,165.654
45,166.532
46,167.242
47,167.678
48,168.164
49,168.479
50,168.912
51,169.757
52,170.195
53,170.900
54,171.435
55,171.858
56,172.353
57,173.240
58,173.966
59,174.514
60,175.176
61,175.767
62,176.437
63,177.604
64,178.816
65,179.215
66,179.684
67,180.101
68,180.522
69,181.157
70,181.808
71,182.334
72,182.674
73,183.584
74,185.643
75,187.963
76,190.026
77,191.090
78,194.855
79,197.763
80,207.675
81,214.500
82,215.788
83,224.507
84,241.302
85,255.262
86,271.939
87,284.615
88,309.018
89,328.565
90,1085.776
91,1096.915
92,1110.015
93,1127.929
94,1166.805
95,1178.521
96,1189.892
97,1216.823
98,3167.401
99,3186.494
