Percentage served,Time in ms
0,71.752
1,72.480
2,72.960
3,73.233
4,73.374
5,73.519
6,73.633
7,73.795
8,74.001
9,74.230
10,74.450
11,74.670
12,74.891
13,75.188
14,75.464
15,75.967
16,76.292
17,76.731
18,77.378
19,77.683
20,78.028
21,79.288
22,80.664
23,81.359
24,82.003
25,82.289
26,82.490
27,82.784
28,82.996
29,83.178
30,83.318
31,83.408
32,83.491
33,83.575
34,83.684
35,83.823
36,83.940
37,84.031
38,84.160
39,84.262
40,84.365
41,84.507
42,84.610
43,84.703
44,84.818
45,84.977
46,85.098
47,85.186
48,85.285
49,85.414
50,85.529
51,85.669
52,85.791
53,85.882
54,86.090
55,86.312
56,86.526
57,86.721
58,86.886
59,87.008
60,87.155
61,87.358
62,87.907
63,88.553
64,88.920
65,89.122
66,89.623
67,89.993
68,90.793
69,91.885
70,92.505
71,93.198
72,94.469
73,95.891
74,98.209
75,100.637
76,101.771
77,102.656
78,108.042
79,110.593
80,115.699
81,121.281
82,126.524
83,139.152
84,156.514
85,172.113
86,189.659
87,210.947
88,224.482
89,249.405
90,1071.053
91,1084.472
92,1090.817
93,1097.339
94,1112.182
95,1160.189
96,1287.776
97,3110.344
98,3140.993
99,3212.396
